sample_index,true_label,true_class,exit_after_layer1.0_pred_label,exit_after_layer1.0_pred_class,exit_after_layer1.0_correct,exit_after_layer1.0_confidence,exit_after_layer1.0_entropy,exit_after_layer2.0_pred_label,exit_after_layer2.0_pred_class,exit_after_layer2.0_correct,exit_after_layer2.0_confidence,exit_after_layer2.0_entropy,final_pred_label,final_pred_class,final_correct,final_confidence,final_entropy
80,6,frog,6,frog,True,0.72008097,0.39242280,6,frog,True,0.94503212,0.13059874,6,frog,True,0.60474098,0.32851782
81,1,automobile,1,automobile,True,0.97026056,0.07249153,1,automobile,True,0.99920529,0.00310896,1,automobile,True,0.99983490,0.00075496
82,4,deer,4,deer,True,0.58681226,0.51371157,4,deer,True,0.63904440,0.51420766,4,deer,True,0.98754698,0.03463992
83,1,automobile,1,automobile,True,0.74598962,0.32758281,1,automobile,True,0.99887818,0.00381466,1,automobile,True,0.99999654,0.00002049
84,5,dog,9,truck,False,0.23041585,0.81750321,9,truck,False,0.57819909,0.62035859,5,dog,True,0.98724419,0.03190845
85,8,ship,0,airplane,False,0.49268660,0.48106501,8,ship,True,0.99421471,0.01696846,8,ship,True,0.99173754,0.02155272
86,6,frog,6,frog,True,0.91236663,0.17289300,6,frog,True,0.99961382,0.00166305,6,frog,True,0.99999130,0.00005382
87,6,frog,4,deer,False,0.21705972,0.80152255,6,frog,True,0.57245171,0.41868749,2,bird,False,0.70130837,0.42199290
88,4,deer,4,deer,True,0.89998424,0.18283822,4,deer,True,0.96146023,0.08972557,4,deer,True,0.99999797,0.00001329
89,1,automobile,1,automobile,True,0.92589945,0.14022376,1,automobile,True,0.99984014,0.00070070,1,automobile,True,0.99999774,0.00001494
90,2,bird,4,deer,False,0.68591982,0.44534293,2,bird,True,0.48561773,0.60758448,2,bird,True,0.86168712,0.24752738
91,7,horse,4,deer,False,0.61997926,0.44927213,4,deer,False,0.67475629,0.38497624,7,horse,True,0.81029433,0.23133460
92,0,airplane,0,airplane,True,0.74480164,0.29475811,0,airplane,True,0.56058699,0.41962156,0,airplane,True,0.86429954,0.19591451
93,9,truck,9,truck,True,0.90754026,0.19188286,9,truck,True,0.99231452,0.02373184,9,truck,True,0.99303186,0.02266755
94,2,bird,6,frog,False,0.32502788,0.67567807,2,bird,True,0.84522355,0.26120993,2,bird,True,0.99365014,0.01860890
95,3,cat,5,dog,False,0.59745824,0.48837966,5,dog,False,0.52050674,0.51337159,3,cat,True,0.79849374,0.26733604
96,5,dog,4,deer,False,0.39380914,0.71993136,7,horse,False,0.50203961,0.66952997,5,dog,True,0.44862375,0.53158349
97,0,airplane,0,airplane,True,0.69753987,0.35625994,0,airplane,True,0.76340723,0.32651576,0,airplane,True,0.79081333,0.35718811
98,2,bird,2,bird,True,0.61438996,0.53885722,2,bird,True,0.95783556,0.09365799,2,bird,True,0.99992836,0.00037615
99,3,cat,7,horse,False,0.48366058,0.65897620,7,horse,False,0.51563448,0.53107172,5,dog,False,0.55904204,0.29976654
100,4,deer,8,ship,False,0.54678863,0.56998444,4,deer,True,0.95915198,0.10082170,4,deer,True,0.99857438,0.00565653
101,6,frog,6,frog,True,0.96843153,0.07338453,6,frog,True,0.99999285,0.00004308,6,frog,True,0.99997592,0.00013640
102,8,ship,8,ship,True,0.70487064,0.32875153,8,ship,True,0.95856136,0.08064696,8,ship,True,0.99724388,0.00895473
103,1,automobile,1,automobile,True,0.60525197,0.53810048,1,automobile,True,0.99723417,0.00893928,1,automobile,True,0.99596161,0.01287832
104,4,deer,4,deer,True,0.71604437,0.37190366,4,deer,True,0.94407994,0.09764053,4,deer,True,0.99999321,0.00004180
105,6,frog,6,frog,True,0.58835542,0.52720129,6,frog,True,0.98790681,0.03461451,6,frog,True,0.99998832,0.00006937
106,0,airplane,0,airplane,True,0.49473330,0.41975424,0,airplane,True,0.98283643,0.04197724,0,airplane,True,0.99851495,0.00507542
107,0,airplane,0,airplane,True,0.72405058,0.31601402,0,airplane,True,0.97445899,0.06585263,0,airplane,True,0.99871373,0.00510306
108,0,airplane,0,airplane,True,0.77427787,0.35970119,0,airplane,True,0.83323532,0.28816929,0,airplane,True,0.91925639,0.16114818
109,9,truck,9,truck,True,0.41855627,0.72605205,9,truck,True,0.95115393,0.11395297,9,truck,True,0.99530339,0.01553922
110,5,dog,3,cat,False,0.38333404,0.66352737,5,dog,True,0.51127595,0.58626586,5,dog,True,0.48417377,0.52145946
111,7,horse,7,horse,True,0.89457428,0.21208486,7,horse,True,0.67732430,0.45651367,7,horse,True,0.97793627,0.05263496
112,2,bird,2,bird,True,0.51364297,0.34469351,2,bird,True,0.64599973,0.31724310,2,bird,True,0.95046365,0.10405027
113,1,automobile,1,automobile,True,0.45880461,0.59979570,1,automobile,True,0.99174178,0.02274550,1,automobile,True,0.99919993,0.00298738
114,3,cat,3,cat,True,0.35785872,0.61808437,3,cat,True,0.59650111,0.53759205,3,cat,True,0.76678085,0.35226327
115,7,horse,3,cat,False,0.24164841,0.82061285,4,deer,False,0.73786986,0.45177001,5,dog,False,0.56321371,0.32916644
116,6,frog,2,bird,False,0.83442783,0.30543280,2,bird,False,0.76926368,0.30507264,6,frog,True,0.94686913,0.10080612
117,6,frog,6,frog,True,0.96862018,0.07510029,6,frog,True,0.99998021,0.00010751,6,frog,True,0.99999666,0.00002121
118,5,dog,5,dog,True,0.40550971,0.60012633,5,dog,True,0.48190466,0.60465127,5,dog,True,0.92652845,0.14577650
119,9,truck,9,truck,True,0.38773403,0.78434157,9,truck,True,0.96696413,0.08526751,9,truck,True,0.97020030,0.06739830
120,2,bird,2,bird,True,0.69387835,0.49183798,2,bird,True,0.97486037,0.05953987,2,bird,True,0.99970883,0.00132719
121,1,automobile,8,ship,False,0.47960642,0.67942369,1,automobile,True,0.85018563,0.24829555,1,automobile,True,0.99885893,0.00413882
122,1,automobile,1,automobile,True,0.77953815,0.29229766,8,ship,False,0.47552484,0.45922971,8,ship,False,0.96405071,0.07675004
123,4,deer,4,deer,True,0.47411105,0.61658055,2,bird,False,0.59519202,0.51256216,4,deer,True,0.99946874,0.00211998
124,7,horse,7,horse,True,0.40783554,0.58497882,4,deer,False,0.65774482,0.41444704,7,horse,True,0.87313849,0.25224087
125,7,horse,7,horse,True,0.83240724,0.24173506,7,horse,True,0.89825821,0.17349756,7,horse,True,0.99996173,0.00020553
126,1,automobile,0,airplane,False,0.73001826,0.34795007,0,airplane,False,0.81602323,0.22351235,1,automobile,True,0.77895534,0.32419136
127,1,automobile,1,automobile,True,0.80035192,0.24716389,1,automobile,True,0.99967909,0.00127563,1,automobile,True,0.99914873,0.00299178
128,0,airplane,2,bird,False,0.49486226,0.66280013,0,airplane,True,0.49261981,0.61898559,0,airplane,True,0.72467160,0.37722930
129,8,ship,8,ship,True,0.61902934,0.34653336,8,ship,True,0.87432766,0.16929004,8,ship,True,0.99088281,0.02274091
130,6,frog,6,frog,True,0.62658232,0.46627644,6,frog,True,0.99591869,0.01449656,6,frog,True,0.99997437,0.00014463
131,9,truck,9,truck,True,0.65798420,0.42371497,9,truck,True,0.97073686,0.05836833,9,truck,True,0.99993181,0.00032706
132,3,cat,3,cat,True,0.37683254,0.61803889,3,cat,True,0.87307966,0.22358441,3,cat,True,0.99635434,0.01227073
133,0,airplane,1,automobile,False,0.33311087,0.72405303,0,airplane,True,0.48615313,0.65767157,0,airplane,True,0.99373877,0.02038804
134,4,deer,4,deer,True,0.45436445,0.65529364,4,deer,True,0.87337601,0.20234448,4,deer,True,0.99999678,0.00001939
135,0,airplane,0,airplane,True,0.72560501,0.36921459,0,airplane,True,0.98073727,0.05428948,0,airplane,True,0.96952170,0.06445859
136,8,ship,8,ship,True,0.30663556,0.84150189,8,ship,True,0.98965013,0.02812420,8,ship,True,0.99999189,0.00004804
137,8,ship,2,bird,False,0.39606476,0.60520858,8,ship,True,0.83975631,0.25456470,8,ship,True,0.99850476,0.00590049
138,8,ship,8,ship,True,0.93965602,0.13732243,8,ship,True,0.70015782,0.26923224,8,ship,True,0.99961495,0.00152725
139,6,frog,6,frog,True,0.52530366,0.55755222,6,frog,True,0.99093246,0.02425251,6,frog,True,0.99990344,0.00047645
140,6,frog,6,frog,True,0.70531189,0.39692104,6,frog,True,0.99853718,0.00519518,6,frog,True,0.99995577,0.00023341
141,6,frog,6,frog,True,0.76127267,0.36039871,6,frog,True,0.99495584,0.01614031,6,frog,True,0.99999917,0.00000626
142,0,airplane,6,frog,False,0.34570232,0.83557087,6,frog,False,0.48902753,0.71431899,6,frog,False,0.33395854,0.69457263
143,8,ship,8,ship,True,0.74918622,0.37864757,8,ship,True,0.98031014,0.04933888,8,ship,True,0.99758434,0.00840322
144,9,truck,9,truck,True,0.91058326,0.18756936,9,truck,True,0.99490285,0.01604382,9,truck,True,0.99998915,0.00006315
145,5,dog,3,cat,False,0.28703892,0.78720361,5,dog,True,0.56638587,0.54519266,5,dog,True,0.98430562,0.04276797
146,5,dog,5,dog,True,0.73892343,0.30953714,5,dog,True,0.95017010,0.08717775,5,dog,True,0.99900562,0.00342796
147,2,bird,2,bird,True,0.65954733,0.49859539,2,bird,True,0.89439154,0.20334142,2,bird,True,0.76398396,0.30365050
148,3,cat,3,cat,True,0.41560620,0.66845697,8,ship,False,0.36567008,0.68523425,3,cat,True,0.89696437,0.22158700
149,3,cat,3,cat,True,0.48895979,0.68987870,3,cat,True,0.73183113,0.46098438,3,cat,True,0.99417043,0.01581615
150,1,automobile,1,automobile,True,0.70699972,0.37310266,1,automobile,True,0.97910494,0.04752072,1,automobile,True,0.99919897,0.00308615
151,1,automobile,1,automobile,True,0.68858433,0.46154523,1,automobile,True,0.91141343,0.17283694,1,automobile,True,0.97876269,0.04666286
152,4,deer,4,deer,True,0.61246014,0.49185964,4,deer,True,0.85997331,0.20058057,4,deer,True,0.99998474,0.00008661
153,8,ship,8,ship,True,0.74408257,0.28109589,8,ship,True,0.99577552,0.01251439,8,ship,True,0.99736446,0.00798872
154,3,cat,5,dog,False,0.49089718,0.47047582,3,cat,True,0.65144295,0.35217637,3,cat,True,0.99797577,0.00714705
155,2,bird,2,bird,True,0.88697636,0.19202065,2,bird,True,0.95043439,0.08745560,2,bird,True,0.99885499,0.00404504
156,5,dog,5,dog,True,0.41421828,0.61753482,3,cat,False,0.55650055,0.56255770,5,dog,True,0.90142143,0.17042382
157,3,cat,3,cat,True,0.30608484,0.71922964,9,truck,False,0.21677844,0.82697892,3,cat,True,0.97400159,0.06519857
158,3,cat,3,cat,True,0.44088039,0.62098408,6,frog,False,0.72315967,0.33657020,3,cat,True,0.99979967,0.00091478
159,9,truck,8,ship,False,0.52702516,0.49128866,0,airplane,False,0.78561336,0.30538827,9,truck,True,0.75640452,0.29775953
160,2,bird,0,airplane,False,0.79231185,0.27761683,0,airplane,False,0.76532882,0.34079617,0,airplane,False,0.97285843,0.06581064
161,5,dog,5,dog,True,0.54175460,0.34614411,5,dog,True,0.38753662,0.54033834,3,cat,False,0.49189043,0.46291345
162,8,ship,2,bird,False,0.39365265,0.79449844,8,ship,True,0.41944492,0.73924810,8,ship,True,0.99679595,0.01161649
163,4,deer,4,deer,True,0.59634161,0.47661904,6,frog,False,0.50705433,0.41790298,4,deer,True,0.99998212,0.00010744
164,2,bird,4,deer,False,0.56698853,0.51333731,2,bird,True,0.81607747,0.30944172,2,bird,True,0.99940085,0.00249735
165,9,truck,9,truck,True,0.91166532,0.14244527,9,truck,True,0.99999022,0.00005439,9,truck,True,0.99997818,0.00011203
166,2,bird,2,bird,True,0.40323254,0.71444422,2,bird,True,0.45048299,0.62444216,2,bird,True,0.90473920,0.18904760
167,1,automobile,1,automobile,True,0.84295726,0.23580104,1,automobile,True,0.99953127,0.00189267,1,automobile,True,0.99999607,0.00002365
168,7,horse,5,dog,False,0.35263517,0.63479972,7,horse,True,0.75695378,0.36035538,7,horse,True,0.68277580,0.30474418
169,2,bird,2,bird,True,0.62127578,0.53899699,2,bird,True,0.61255866,0.42322680,2,bird,True,0.80308890,0.24783708
170,8,ship,2,bird,False,0.46319455,0.70320654,8,ship,True,0.71521437,0.29039645,8,ship,True,0.94020861,0.10284970
171,3,cat,4,deer,False,0.39512238,0.66975659,6,frog,False,0.50789177,0.49915811,3,cat,True,0.91557801,0.18205543
172,4,deer,4,deer,True,0.80201393,0.29924425,4,deer,True,0.99052507,0.02609867,4,deer,True,0.99999368,0.00003833
173,0,airplane,0,airplane,True,0.73010123,0.34082586,0,airplane,True,0.93765253,0.10690974,0,airplane,True,0.99953818,0.00186318
174,6,frog,2,bird,False,0.45940149,0.56164414,6,frog,True,0.99375868,0.01857120,6,frog,True,0.99874401,0.00449644
175,1,automobile,3,cat,False,0.42766035,0.77723366,1,automobile,True,0.66157806,0.29282758,1,automobile,True,0.99571460,0.01270296
176,3,cat,3,cat,True,0.51797038,0.42925093,3,cat,True,0.63327533,0.46836695,6,frog,False,0.48098442,0.46384427
177,0,airplane,0,airplane,True,0.54505354,0.58988297,0,airplane,True,0.71211314,0.37522861,0,airplane,True,0.99760592,0.00910021
178,0,airplane,0,airplane,True,0.83322257,0.27102044,0,airplane,True,0.95733875,0.10464312,0,airplane,True,0.99900311,0.00383941
179,3,cat,3,cat,True,0.46902773,0.46260980,3,cat,True,0.44077659,0.50132048,3,cat,True,0.75886422,0.25606504
180,9,truck,9,truck,True,0.80474460,0.28391579,9,truck,True,0.99937421,0.00251721,9,truck,True,0.99904388,0.00364748
181,1,automobile,1,automobile,True,0.87332052,0.21069610,1,automobile,True,0.98990101,0.02719486,1,automobile,True,0.99994183,0.00028492
182,9,truck,9,truck,True,0.78397566,0.28667873,9,truck,True,0.98995215,0.02455035,9,truck,True,0.99989212,0.00048140
183,1,automobile,1,automobile,True,0.82351851,0.28690684,1,automobile,True,0.98844379,0.03013006,1,automobile,True,0.99818665,0.00583477
184,4,deer,4,deer,True,0.57550508,0.57657421,4,deer,True,0.40263575,0.60073018,4,deer,True,0.99621826,0.01242441
185,0,airplane,8,ship,False,0.47086918,0.59692514,0,airplane,True,0.97158360,0.05974412,0,airplane,True,0.99616408,0.01204851
186,6,frog,6,frog,True,0.41539484,0.64503020,6,frog,True,0.38763165,0.66969496,6,frog,True,0.57452118,0.57600313
187,2,bird,5,dog,False,0.26880923,0.76493192,2,bird,True,0.52042907,0.57695550,2,bird,True,0.98049074,0.05281737
188,4,deer,4,deer,True,0.43382865,0.66626930,4,deer,True,0.75587440,0.35447067,4,deer,True,0.99995363,0.00023833
189,8,ship,8,ship,True,0.66136169,0.44701150,8,ship,True,0.80141377,0.28680766,8,ship,True,0.99980253,0.00084980
190,7,horse,7,horse,True,0.68187356,0.44859448,7,horse,True,0.77618241,0.33135429,7,horse,True,0.89685905,0.18471871
191,1,automobile,8,ship,False,0.45336023,0.52570236,1,automobile,True,0.82458037,0.25832987,1,automobile,True,0.85486203,0.19123073
192,0,airplane,0,airplane,True,0.53544796,0.50035977,0,airplane,True,0.81051821,0.31716967,0,airplane,True,0.98118663,0.05503738
193,4,deer,4,deer,True,0.92957115,0.14515407,4,deer,True,0.95159644,0.09015746,4,deer,True,0.99998963,0.00006174
194,4,deer,4,deer,True,0.91262251,0.17819750,4,deer,True,0.94986343,0.11166469,4,deer,True,0.99999499,0.00003136
195,9,truck,9,truck,True,0.80995053,0.33576617,9,truck,True,0.98514754,0.03996765,9,truck,True,0.99990368,0.00045939
196,8,ship,0,airplane,False,0.43381172,0.50138748,8,ship,True,0.82317841,0.26618558,8,ship,True,0.96367925,0.08305661
197,4,deer,4,deer,True,0.28595197,0.80676782,6,frog,False,0.29672831,0.74788225,4,deer,True,0.99806195,0.00744306
198,8,ship,8,ship,True,0.34994507,0.70327860,8,ship,True,0.55807763,0.30424878,8,ship,True,0.98917764,0.02646196
199,7,horse,4,deer,False,0.39984563,0.62125081,7,horse,True,0.55778509,0.43177477,7,horse,True,0.99981171,0.00088922
200,1,automobile,0,airplane,False,0.69028932,0.50019485,0,airplane,False,0.74483585,0.38020989,1,automobile,True,0.55453676,0.55035001
201,7,horse,7,horse,True,0.77843410,0.36474243,7,horse,True,0.99970752,0.00127977,7,horse,True,0.99998856,0.00006948
202,6,frog,6,frog,True,0.65556324,0.45293841,6,frog,True,0.99942940,0.00226648,6,frog,True,0.99998081,0.00010960
203,4,deer,4,deer,True,0.77046174,0.34923062,4,deer,True,0.99790454,0.00756709,4,deer,True,0.99999869,0.00000924
204,9,truck,9,truck,True,0.70690072,0.34693146,9,truck,True,0.98768729,0.03264500,9,truck,True,0.99982005,0.00083200
205,6,frog,6,frog,True,0.94394934,0.11883885,6,frog,True,0.99985707,0.00066883,6,frog,True,0.99983275,0.00077209
206,3,cat,5,dog,False,0.43461862,0.63753480,7,horse,False,0.66535687,0.42303774,3,cat,True,0.73787403,0.34548217
207,1,automobile,1,automobile,True,0.66146290,0.53553796,1,automobile,True,0.98203790,0.04456448,1,automobile,True,0.99757749,0.00842391
208,5,dog,4,deer,False,0.39768475,0.61774689,2,bird,False,0.61206520,0.55126595,5,dog,True,0.74993098,0.39554143
